Season,Slot,StrongSeed,WeakSeed,StrTeamID,WkTeamID,StrTeamName,WkTeamName
1985,R1W1,W01,W16,1207,1250,Georgetown,Lehigh
1985,R1W2,W02,W15,1210,1273,Georgia Tech,Mercer
1985,R1W3,W03,W14,1228,1318,Illinois,Northeastern
1985,R1W4,W04,W13,1260,1233,Loyola-Chicago,Iona
1985,R1W5,W05,W12,1374,1330,SMU,Old Dominion
1985,R1W6,W06,W11,1208,1455,Georgia,Wichita St
1985,R1W7,W07,W10,1393,1177,Syracuse,DePaul
1985,R1W8,W08,W09,1396,1439,Temple,Virginia Tech
1985,R1X1,X01,X16,1385,1380,St John's,Southern Univ
1985,R1X2,X02,X15,1433,1267,VCU,Marshall
1985,R1X3,X03,X14,1301,1305,NC State,Nevada
1985,R1X4,X04,X13,1424,1361,UNLV,San Diego St
1985,R1X5,X05,X12,1449,1246,Washington,Kentucky
1985,R1X6,X06,X11,1409,1431,Tulsa,UTEP
1985,R1X7,X07,X10,1104,1112,Alabama,Arizona
1985,R1X8,X08,X09,1234,1116,Iowa,Arkansas
1985,R1Y1,Y01,Y16,1328,1299,Oklahoma,NC A&T
1985,R1Y2,Y02,Y15,1272,1335,Memphis,Penn
1985,R1Y3,Y03,Y14,1181,1337,Duke,Pepperdine
1985,R1Y4,Y04,Y13,1326,1235,Ohio St,Iowa St
1985,R1Y5,Y05,Y12,1256,1338,Louisiana Tech,Pittsburgh
1985,R1Y6,Y06,Y11,1403,1130,Texas Tech,Boston College
1985,R1Y7,Y07,Y10,1412,1277,UAB,Michigan St
1985,R1Y8,Y08,Y09,1425,1229,USC,Illinois St
1985,R1Z1,Z01,Z16,1276,1192,Michigan,F Dickinson
1985,R1Z2,Z02,Z15,1314,1292,North Carolina,MTSU
1985,R1Z3,Z03,Z14,1242,1325,Kansas,Ohio
1985,R1Z4,Z04,Z13,1261,1298,LSU,Navy
1985,R1Z5,Z05,Z12,1268,1275,Maryland,Miami OH
1985,R1Z6,Z06,Z11,1345,1120,Purdue,Auburn
1985,R1Z7,Z07,Z10,1323,1333,Notre Dame,Oregon St
1985,R1Z8,Z08,Z09,1437,1173,Villanova,Dayton
1986,R1W1,W01,W16,1181,1290,Duke,MS Valley St
1986,R1W2,W02,W15,1393,1135,Syracuse,Brown
1986,R1W3,W03,W14,1231,1156,Indiana,Cleveland St
1986,R1W4,W04,W13,1328,1318,Oklahoma,Northeastern
1986,R1W5,W05,W12,1438,1177,Virginia,DePaul
1986,R1W6,W06,W11,1386,1350,St Joseph's PA,Richmond
1986,R1W7,W07,W10,1298,1409,Navy,Tulsa
1986,R1W8,W08,W09,1330,1452,Old Dominion,West Virginia
1986,R1X1,X01,X16,1242,1299,Kansas,NC A&T
1986,R1X2,X02,X15,1276,1103,Michigan,Akron
1986,R1X3,X03,X14,1323,1114,Notre Dame,Ark Little Rock
1986,R1X4,X04,X13,1207,1403,Georgetown,Texas Tech
1986,R1X5,X05,X12,1277,1449,Michigan St,Washington
1986,R1X6,X06,X11,1301,1234,NC State,Iowa
1986,R1X7,X07,X10,1235,1275,Iowa St,Miami OH
1986,R1X8,X08,X09,1239,1396,Jacksonville,Temple
