Season,Slot,StrongSeed,WeakSeed,StrTeamID,WkTeamID,WinnerID
2024,R2Z2,R1Z2,R1Z7,1266,1160,1266
2024,R2X2,R1X2,R1X7,1112,1173,1112
2024,R3W2,R2W2,R2W3,1235,1228,1228
2024,R1W2,W02,W15,1235,1355,1235
2024,R1Y2,Y02,Y15,1397,1389,1397
2024,R1X4,X04,X13,1104,1158,1104
2024,R2X4,R1X4,R1X5,1104,1213,1104
2024,Y10,Y10a,Y10b,1161,1438,1161
2024,R1Z2,Z02,Z15,1266,1443,1266
2024,R3W1,R2W1,R2W4,1163,1361,1163
2024,R1Z4,Z04,Z13,1181,1436,1181
2024,R1Y5,Y05,Y12,1211,1270,1211
2024,R1Z5,Z05,Z12,1458,1241,1241
2024,R2Y3,R1Y3,R1Y6,1166,1332,1166
2024,R2W2,R1W2,R1W7,1235,1450,1235
2024,R3Z2,R2Z2,R2Z3,1266,1301,1301
2024,R1W8,W08,W09,1194,1321,1321
2024,R1Z6,Z06,Z11,1403,1301,1301
2024,R1X5,X05,X12,1388,1213,1213
2024,R2Y4,R1Y4,R1Y5,1242,1211,1211
2024,R2Z3,R1Z3,R1Z6,1324,1301,1301
2024,R5WX,R4W1,R4X1,1163,1104,1163
2024,R1Y1,Y01,Y16,1345,1212,1345
2024,R1Y3,Y03,Y14,1166,1103,1166
2024,R1W6,W06,W11,1140,1182,1182
2024,R3Y2,R2Y2,R2Y3,1397,1166,1397
2024,R3X1,R2X1,R2X4,1314,1104,1104
2024,X16,X16a,X16b,1224,1447,1447
2024,R1Y4,Y04,Y13,1242,1359,1242
2024,R1Z1,Z01,Z16,1222,1255,1222
2024,R1X7,X07,X10,1173,1305,1173
2024,R2Z4,R1Z4,R1Z5,1181,1241,1181
2024,R1X1,X01,X16,1314,1447,1314
2024,R1X2,X02,X15,1112,1253,1112
2024,R1Z3,Z03,Z14,1246,1324,1324
2024,R1W4,W04,W13,1120,1463,1463
2024,R3Y1,R2Y1,R2Y4,1345,1211,1345
2024,R4Y1,R3Y1,R3Y2,1345,1397,1345
2024,Y16,Y16a,Y16b,1212,1286,1212
2024,R3Z1,R2Z1,R2Z4,1222,1181,1181
2024,R4X1,R3X1,R3X2,1104,1155,1104
2024,R4Z1,R3Z1,R3Z2,1181,1301,1301
2024,R1Y7,Y07,Y10,1400,1161,1400
2024,R1Z8,Z08,Z09,1304,1401,1401
2024,R2X1,R1X1,R1X8,1314,1277,1314
2024,R2Z1,R1Z1,R1Z8,1222,1401,1222
2024,R2Y2,R1Y2,R1Y7,1397,1400,1397
2024,R2W4,R1W4,R1W5,1463,1361,1361
2024,R4W1,R3W1,R3W2,1163,1228,1163
2024,R1W3,W03,W14,1228,1287,1228
2024,R1Y6,Y06,Y11,1376,1332,1332
2024,R1X8,X08,X09,1280,1277,1277
2024,R2Y1,R1Y1,R1Y8,1345,1429,1345
2024,R1W5,W05,W12,1361,1412,1361
2024,R1W1,W01,W16,1163,1391,1163
2024,R2W1,R1W1,R1W8,1163,1321,1163
2024,R2X3,R1X3,R1X6,1124,1155,1155
2024,R5YZ,R4Y1,R4Z1,1345,1301,1345
2024,Z10,Z10a,Z10b,1129,1160,1160
2024,R1X6,X06,X11,1155,1307,1155
2024,R1W7,W07,W10,1450,1179,1450
2024,R1Z7,Z07,Z10,1196,1160,1160
2024,R3X2,R2X2,R2X3,1112,1155,1155
2024,R1X3,X03,X14,1124,1159,1124
2024,R1Y8,Y08,Y09,1429,1395,1429
2024,R2W3,R1W3,R1W6,1228,1182,1228
